"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16494","Package Filter","chromium","2026-05-23","passed","2026-05-23","","android\TC-007.spec.ts","",""
"","6079","Login Android App","webkit","2026-05-22","failed","2026-05-22","","android\login.spec.ts","",""
"","17068","Account Information, if checkout must be login","chromium","2026-05-23","passed","2026-05-23","","android\TC-003.spec.ts","",""
"","193","Order Confirmation","chromium","2026-05-23","failed","2026-05-23","","android\TC-008.spec.ts","",""
"","19825","Logout","chromium","2026-05-23","passed","2026-05-23","","android\TC-005.spec.ts","",""
"","120010","Package Catalogue","chromium","2026-05-23","broken","2026-05-23","","android\TC-006.spec.ts","",""
"","19821","Guest Access","chromium","2026-05-23","passed","2026-05-23","","android\TC-002.spec.ts","",""
"","14574","Quota Details, Detail Product is validated","chromium","2026-05-23","passed","2026-05-23","","android\TC-004.spec.ts","",""
"","6140","Login Android App","firefox","2026-05-22","failed","2026-05-22","","android\login.spec.ts","",""
"","7923","Login Android App","chromium","2026-05-22","passed","2026-05-22","","android\login.spec.ts","",""
"","23394","Login Android App","chromium","2026-05-22","failed","2026-05-22","","android\TC-001.spec.ts","",""
"","106745","Home Screen After Login","chromium","2026-05-23","passed","2026-05-23","","android\TC-002.spec.ts","",""
"","33437","Home Screen After Login","chromium","2026-05-23","passed","2026-05-23","","android\TC-001.spec.ts","",""
